rx_time,seq,timestamp_ms,state,lat,lon,gps_alt_m,gps_sats,gps_fix,baro_alt_m,vert_vel_ms,accel_x_g,accel_y_g,accel_z_g,accel_mag_g,quat_w,quat_x,quat_y,quat_z,voltage_v,current_ma,rssi
1782773000.059,3001,679573,0,0.00000000,0.00000000,0.00,0,0,0.45,0.005,0.1470,0.8330,1.6170,1.8249,0.459961,0.112732,-0.035522,0.880066,7.726,75.0,-1
1782773000.307,3002,679790,0,0.00000000,0.00000000,0.00,0,0,0.45,0.012,0.4900,0.3920,1.9600,2.0580,0.459961,0.112793,-0.035522,0.880066,7.729,73.8,-1
1782773000.492,3003,680015,0,0.00000000,0.00000000,0.00,0,0,0.47,0.021,0.7840,0.4900,2.7440,2.8956,0.459961,0.112793,-0.035583,0.880066,7.727,72.5,-1
1782773000.742,3004,680230,0,0.00000000,0.00000000,0.00,0,0,0.40,-0.030,0.0000,1.0290,0.1960,1.0475,0.459961,0.112854,-0.035583,0.880066,7.727,73.8,-1
1782773000.928,3005,680455,0,0.00000000,0.00000000,0.00,0,0,0.39,-0.029,1.3230,0.4900,2.3030,2.7008,0.459961,0.112793,-0.035583,0.880066,7.731,71.2,-1
1782773001.177,3006,680673,0,0.00000000,0.00000000,0.00,0,0,0.41,-0.025,0.3920,0.1960,2.1560,2.2001,0.459961,0.112793,-0.035583,0.880066,7.725,73.8,-1
1782773001.424,3007,680896,0,0.00000000,0.00000000,0.00,0,0,0.45,0.003,0.2450,0.6370,1.8130,1.9372,0.459961,0.112793,-0.035583,0.880066,7.727,71.2,-1
1782773001.610,3008,681138,0,0.00000000,0.00000000,0.00,0,0,0.40,-0.014,0.7350,0.5880,1.4210,1.7045,0.459961,0.112732,-0.035583,0.880066,7.727,73.8,-1
1782773001.857,3009,681367,0,0.00000000,0.00000000,0.00,0,0,0.44,0.014,-0.4410,0.4410,1.0290,1.2032,0.459961,0.112671,-0.035522,0.880066,7.726,73.8,-1
1782773002.107,3010,681585,0,0.00000000,0.00000000,0.00,0,0,0.38,-0.018,0.1960,0.2940,1.4700,1.5119,0.459961,0.112671,-0.035522,0.880066,7.722,78.8,-1
1782773002.294,3011,681809,0,0.00000000,0.00000000,0.00,0,0,0.32,-0.065,0.4900,0.6860,1.7150,1.9110,0.459961,0.112610,-0.035461,0.880066,7.724,72.5,-1
1782773002.546,3012,682025,0,0.00000000,0.00000000,0.00,0,0,0.41,0.006,0.5390,0.3430,1.7150,1.8301,0.459534,0.114014,-0.034912,0.880127,7.721,76.2,-1
1782773002.731,3013,682241,0,0.00000000,0.00000000,0.00,0,0,0.34,-0.102,1.2740,-0.0980,1.2740,1.8044,0.459656,0.114563,-0.034485,0.880005,7.727,71.2,-1
1782773002.979,3014,682468,0,0.00000000,0.00000000,0.00,0,0,0.26,0.027,-0.5880,1.4700,0.8820,1.8123,0.453857,0.009399,0.026550,0.890625,7.725,73.8,-1
1782773003.165,3015,682688,0,0.00000000,0.00000000,0.00,0,0,0.14,0.039,0.0000,0.5880,1.3230,1.4478,0.467712,-0.024963,0.040833,0.882568,7.719,75.0,-1
1782773003.417,3016,682910,0,0.00000000,0.00000000,0.00,0,0,-0.01,-0.057,-0.1470,-0.1470,1.3230,1.3392,0.472107,-0.034363,0.056091,0.879089,7.726,75.0,-1
1782773003.603,3017,683119,0,0.00000000,0.00000000,0.00,0,0,-0.06,-0.025,0.1960,0.8820,2.0090,2.2028,0.474060,-0.030518,0.059753,0.877930,7.724,72.5,-1
1782773003.852,3018,683339,0,0.00000000,0.00000000,0.00,0,0,0.01,0.047,-0.1470,0.5880,1.6660,1.7728,0.473633,-0.024048,0.059509,0.878357,7.722,72.5,-1
1782773004.039,3019,683563,0,0.00000000,0.00000000,0.00,0,0,0.10,0.051,0.1960,0.7840,1.5190,1.7206,0.472595,-0.024597,0.059814,0.878906,7.735,73.8,-1
1782773004.286,3020,683783,0,0.00000000,0.00000000,0.00,0,0,0.09,0.023,-0.4410,1.3720,1.8130,2.3160,0.473511,-0.026917,0.056824,0.878540,7.734,71.2,-1
1782773004.474,3021,684001,0,0.00000000,0.00000000,0.00,0,0,0.13,0.043,0.1960,0.6860,1.2740,1.4602,0.474243,-0.021057,0.050110,0.878723,7.733,73.8,-1
1782773004.725,3022,684214,0,0.00000000,0.00000000,0.00,0,0,0.11,-0.001,0.4410,0.1960,1.5190,1.5938,0.478760,-0.030640,0.047729,0.876099,7.735,71.2,-1
1782773004.914,3023,684432,0,0.00000000,0.00000000,0.00,0,0,0.14,0.006,0.1470,0.3920,1.4700,1.5285,0.494873,0.029236,-0.115479,0.860779,7.734,75.0,-1
1782773005.162,3024,684653,0,0.00000000,0.00000000,0.00,0,0,0.14,0.104,0.3430,0.5390,0.8330,1.0498,0.498474,0.042358,-0.147644,0.853210,7.744,71.2,-1
1782773005.348,3025,684875,0,0.00000000,0.00000000,0.00,0,0,0.17,0.093,0.1960,0.8330,2.0580,2.2288,0.494385,0.081238,-0.179443,0.846619,7.741,71.2,-1
1782773005.598,3026,685093,0,0.00000000,0.00000000,0.00,0,0,0.32,0.033,-0.0980,0.1470,1.0290,1.0441,0.481323,0.057739,-0.130371,0.864868,7.720,78.8,-1
1782773005.785,3027,685304,0,0.00000000,0.00000000,0.00,0,0,0.20,-0.055,-0.7840,1.4210,0.9310,1.8710,0.520020,-0.155334,0.040894,0.838928,7.733,71.2,-1
1782773006.033,3028,685527,0,0.00000000,0.00000000,0.00,0,0,0.22,-0.106,0.1470,-0.0980,1.4700,1.4806,0.507568,-0.252014,0.127319,0.814026,7.736,70.0,-1
1782773006.220,3029,685746,0,0.00000000,0.00000000,0.00,0,0,0.32,-0.082,0.0980,0.5880,2.1070,2.1897,0.505554,-0.252808,0.132629,0.814148,7.736,71.2,-1
1782773006.468,3030,685964,0,0.00000000,0.00000000,0.00,0,0,0.25,0.199,0.1960,0.3920,1.3230,1.3937,0.498108,-0.073120,0.002747,0.864014,7.718,73.8,-1
1782773006.655,3031,686180,0,0.00000000,0.00000000,0.00,0,0,0.35,0.251,0.6370,0.5390,1.8130,1.9958,0.444702,0.136047,-0.062744,0.883057,7.756,72.5,-1
1782773006.902,3032,686408,0,0.00000000,0.00000000,0.00,0,0,0.34,0.196,0.8820,0.3430,1.6660,1.9160,0.434875,0.242188,-0.107666,0.860596,7.762,71.2,-1
1782773007.151,3033,686627,0,0.00000000,0.00000000,0.00,0,0,0.31,0.304,0.7350,0.3920,1.6660,1.8626,0.418274,0.336975,-0.153931,0.829285,7.759,72.5,-1
