Designator,Footprint,Quantity,Value,LCSC Part #
ADXL375,ADXL375BCCZRL,1,ACC,C579466 
APS6404L-SQH-SN1,APS6404L,1,PSRAM,C7466603 
BMP1,BMP388,1,ALTIMETER,C2684802 
BNO085,BNO085,1,IMU,C5189642
"C1, C11, C28",0603,3,10uF,C70225 
"C10, C9",0603,2,18pF,C1647 
"C12, C13, C17, C18, C19, C20, C21, C22, C26, C4, C5",0603,11,0.22uF,C106216
"C14, C15, C16, C27, C38, C8",0603,6,4.7uF,C19666 
C2,0603,1,22uF,C2762594
"C23, C24",0603,2,10pF,C2168929
"C25, C7",0603,2,10nF,C149619 
"C29, C30, C31, C34, C35, C37, C39",0603,7,0.1uF,C48579250
"C3, C36, C40",0603,3,1uF,C1592 
"C32, C33",0603,2,22pF,C49326308 
C41,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,470uf,C1020067
C6,0603,1,2.2uF,C23630 
CONMHF1-SMD-G-T1,CONMHF1SMDGT,1,ANTENNA,C22442695 
D1,0603,1,3.3V LED,C20433785 
D2,0603,1,BOOT LED,C20433785 
D3,0603,1,GPS LED,C20433785 
D4,0603,1,Altimeter LED,C20433785 
D5,0603,1,200G ACC LED,C20433785 
D6,0603,1,IMU LED,C20433785 
D7,ESD9R3_3ST5G,1,ESD9R3.3ST5G,C233388 
DM3D-SF1,DM3DSF,1,MicroSD,C719027 
F1,1206,1,6A,C183157 
"FB1, FB2",0603,2,120,C14709
INA260,TSSOP16,1,INA260,C2155885 
KMR241GLFS1,KMR421GULCLFS,1,RESET,C221682 
L1,1008,1,6.8uH,C307868 
L2,0805,1,4.7uH,C397305 
L3,0805,1,2.2μH,C83998
MIMXRT1062DVL6B1,BGA196C80P14X14_1200X1200X152,1,MCU,C2847497
"Q1, Q2, Q3",SOT-23,3,SI2302,C460978
"R1, R2",0603,2,5.1k,C1647
R10,0603,1,2.2M,C18679 
"R11, R12, R5, R7, R9",0603,5,470,C23179
R13,0603,1,100k,C14675
"R14, R15, R16, R6, R8",0603,5,4.7k,C23162 
"R17, R18, R19, R20, R23, R24, R27, R28, R31",0603,9,10k,C25804 
"R21, R25, R29",0603,3,7,C228062 
"R22, R26, R30",0603,3,7k,C23101 
R3,0603,1,1M,C22935
R4,0603,1,1k,C21190 
S4B-PH-K-S_LF__SN_1,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,TELEMETRY,C161692
S4B-PH-K-S_LF__SN_2,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,CAMERA,C161692
SCREWTERMINAL1,1725711,1,1725711,C5476987
SCREWTERMINAL2,1725656,1,BATT,C3029316 
SERVO1,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,SERVO1,C161691
SERVO2,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,SERVO2,C161691
SERVO3,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,SERVO3,C161691
SERVO4,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,SERVO4,C161691
"TP1, TP2, TP3",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,3,TestPoint_2Pole,
TPS62111RSAR1,TPS62111RSAR,1,3.3Vreg,C133558 
U-BLOX_ZOE_M8Q-0-1,UBLOX_ZOE_M8-0-10,1,GPS,C7398634
USB_C_RECEPTACLE_USB2.0_14P1,USB_C_Receptacle_GCT_USB4110,1,USBc,C5143397
W25Q64JVXGIM_TR1,SON80P400X400X50-9N,1,FLASH,C7398634 
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz,C510776
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz,C1985397
Y4,830050789,1,32.768kHz,C7462219
Y5,XRCGB,1,XRCGB24M000F2P29R0, C7397287 
