Designator,Mid X,Mid Y,Rotation,Layer
ADXL375,113.185,-42.543,180.0,top
APS6404L-SQH-SN1,121.818,-45.793,270.0,bottom
BMP1,87.633,-56.543,90.0,bottom
BNO085,100.196,-43.856,0.0,top
C1,110.583,-69.843,270.0,bottom
C10,100.883,-60.8055,90.0,top
C11,104.353,-52.043,270.0,bottom
C12,118.783,-64.8555,270.0,bottom
C13,102.483,-56.2555,270.0,bottom
C14,106.623,-51.956,270.0,bottom
C15,104.086,-49.743,180.0,top
C16,104.086,-54.143,180.0,top
C17,104.683,-56.2555,270.0,bottom
C18,108.883,-51.9555,270.0,bottom
C19,107.783,-65.1555,270.0,bottom
C2,122.5455,-70.093,0.0,bottom
C20,104.086,-51.84,180.0,top
C21,104.086,-56.393,180.0,top
C22,114.883,-66.793,180.0,top
C23,105.533,-66.543,270.0,top
C24,111.583,-66.4555,90.0,top
C25,114.983,-54.0555,90.0,bottom
C26,117.733,-54.1055,90.0,bottom
C27,119.936,-54.8555,90.0,bottom
C28,122.483,-54.8555,90.0,bottom
C29,99.7205,-39.293,180.0,top
C3,115.583,-65.143,180.0,bottom
C30,99.883,-37.043,180.0,top
C31,95.383,-42.243,270.0,top
C32,104.9705,-40.943,0.0,top
C33,104.9705,-46.743,180.0,top
C34,85.983,-60.443,270.0,bottom
C35,88.083,-60.443,270.0,bottom
C36,118.037,-41.193,270.0,top
C37,118.037,-45.243,90.0,top
C38,128.1638,-63.8238,0.0,top
C39,130.183,-68.543,0.0,top
C4,116.783,-48.043,180.0,top
C40,100.883,-68.843,270.0,bottom
C41,107.3330001791571,-75.09299922401762,110.0,bottom
C5,92.083,-46.543,270.0,bottom
C6,98.483,-56.2555,270.0,bottom
C7,117.083,-62.4555,90.0,bottom
C8,100.483,-56.2555,270.0,bottom
C9,104.086,-62.593,180.0,top
CONMHF1-SMD-G-T1,132.983,-52.668,180.0,top
D1,122.5455,-68.243,0.0,bottom
D2,127.383,-43.393,0.0,top
D3,97.3205,-68.993,0.0,top
D4,127.383,-45.643,180.0,top
D5,127.383,-47.893,180.0,top
D6,97.258,-71.193,0.0,top
D7,132.683,-58.143,90.0,top
DM3D-SF1,109.883,-39.4805,180.0,bottom
F1,99.183,-76.843,90.0,bottom
FB1,94.6705,-54.843,0.0,top
FB2,101.933,-52.0055,90.0,bottom
FID1,92.383,-35.793,0.0,top
FID2,92.383,-35.793,0.0,bottom
FID3,92.383,-81.293,0.0,top
FID4,127.383,-81.293,0.0,bottom
FID5,127.383,-35.793,0.0,top
FID6,92.383,-81.293,0.0,bottom
FID7,127.383,-35.793,0.0,bottom
FID8,127.383,-81.293,0.0,top
INA260,94.558,-70.043,90.0,bottom
KMR241GLFS1,122.283,-36.793,90.0,bottom
L1,116.5955,-73.693,180.0,bottom
L2,110.683,-48.743,0.0,top
L3,127.483,-66.643,270.0,top
MIMXRT1062DVL6B1,113.583,-57.343,270.0,top
Q1,114.883,-72.6055,90.0,top
Q2,119.633,-72.6055,90.0,top
Q3,124.383,-72.6055,90.0,top
R1,94.633,-57.793,0.0,top
R10,110.033,-69.543,180.0,top
R11,101.5705,-71.243,180.0,top
R12,123.133,-47.893,180.0,top
R13,125.483,-66.543,90.0,bottom
R14,99.383,-45.63,0.0,bottom
R15,99.383,-47.88,0.0,bottom
R16,99.383,-39.043,180.0,bottom
R17,99.383,-41.206,0.0,bottom
R18,99.383,-43.543,180.0,bottom
R19,109.683,-40.843,270.0,top
R2,94.633,-60.043,0.0,top
R20,114.883,-69.043,0.0,top
R21,114.883,-76.043,180.0,top
R22,113.383,-83.543,180.0,bottom
R23,113.383,-78.543,0.0,bottom
R24,119.633,-69.043,0.0,top
R25,119.633,-76.043,180.0,top
R26,118.633,-83.543,180.0,bottom
R27,118.633,-78.543,0.0,bottom
R28,124.383,-69.043,0.0,top
R29,124.2955,-76.043,180.0,top
R3,120.633,-71.743,180.0,bottom
R30,123.883,-83.543,180.0,bottom
R31,123.883,-78.543,0.0,bottom
R4,123.583,-72.943,90.0,bottom
R5,123.2205,-43.393,0.0,top
R6,111.6955,-64.343,0.0,bottom
R7,101.5705,-68.993,0.0,top
R8,90.583,-55.243,270.0,bottom
R9,123.133,-45.643,180.0,top
S4B-PH-K-S_LF__SN_1,87.133,-47.118,90.0,top
S4B-PH-K-S_LF__SN_2,87.233,-70.018,90.0,top
SCREWTERMINAL1,114.493,-81.043,0.0,top
SCREWTERMINAL2,97.953,-82.1755,0.0,top
SERVO1,133.46,-70.71,90.0,bottom
SERVO2,133.46,-62.46,90.0,bottom
SERVO3,133.46,-54.21,90.0,bottom
SERVO4,133.46,-45.96,90.0,bottom
TPS62111RSAR1,115.533,-69.343,180.0,bottom
U-BLOX_ZOE_M8Q-0-1,133.1638,-63.839,0.0,top
USB_C_RECEPTACLE_USB2.0_14P1,86.785,-58.59,270.0,top
W25Q64JVXGIM_TR1,87.333,-47.493,90.0,bottom
Y1,104.032,-60.043,0.0,top
Y3,105.0205,-43.843,90.0,top
Y4,134.4138,-68.743,0.0,top
Y5,108.608,-66.243,180.0,top
